strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Italy/LOM-UniMI-L254/2020	EPI_ISL_542226		ASST GOM Niguarda	Dep. Of Oncology and Hemato-Oncology University of Milan	Claudia Alteri et al
Australia/VIC774/2020	EPI_ISL_427050		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW507/2020	EPI_ISL_455047		Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
Guadeloupe/IPG-7322/2020	EPI_ISL_613422		Institut Pasteur de la Guadeloupe	Institut Pasteur de la Guadeloupe	Marion Barbet et al A
Guatemala/GUA-LNS-57262/2020	EPI_ISL_2827864		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
France/ARA-33485/2020	EPI_ISL_636478		Centre Hospitalier Pierre Oudot	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA-40093/2020	EPI_ISL_683356		CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
Bahrain/BAH-09/2020	EPI_ISL_483550		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
NewZealand/20VR0465/2020	EPI_ISL_456160	MZ331881.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Germany/BY-MVP-0208/2020	EPI_ISL_466889		Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München	Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich	Max Muenchhoff et al
USA/LA-EVTL694/2020	EPI_ISL_653386		LSUHS Emerging Viral Threat Laboratory	Microbial Genome Sequencing Center	Rona S. Scott et al
USA/WA-UW-2137/2020	EPI_ISL_426094	MT345815.1	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
Cameroon/Kribi-20v-11284/2020	EPI_ISL_1001059		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
Nigeria/AK-CV313/2020	EPI_ISL_729987		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al B
Cameroon/Ebolowa-20v-13083/2020	EPI_ISL_1001062		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
Cameroon/Ebolowa-20v-13094/2020	EPI_ISL_1001064		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
Cameroon/Ebolowa-20v-13106/2020	EPI_ISL_1001067		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
DRC/3070/2020	EPI_ISL_437357		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)
DRC/11472/2020	EPI_ISL_527502		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
DRC/11376/2020	EPI_ISL_527513		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
DRC/16143/2020	EPI_ISL_591084		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Uganda/UG056/2020	EPI_ISL_737973		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
NewZealand/20CV0574/2020	EPI_ISL_661259		LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Uganda/MAKCHScov19/2020	EPI_ISL_1652066		Integrated Biorepository of H3Africa Uganda – IBRH3AU	Molecular Biology Laboratory	Savannah Mwesigwa et al
Congo/ITM-005-6177/2021	EPI_ISL_1654213		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Francine Ntoumi et al
Angola/KRISP-K011746/2021	EPI_ISL_1545364		Instituto Nacional de Investigação em Saúde	KRISP, KZN Research Innovation and Sequencing Platform	Morais J et al
Gabon/CERMEL-BB0577/2021	EPI_ISL_2424158		Centre de Recherches Médicales de Lambaréné (CERMEL)	Centre de Recherches Médicales de Lambaréné (CERMEL)	Gédéon Prince Manouana et al
Togo/C5455/2020	EPI_ISL_1508956		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Australia/QLD1920/2021	EPI_ISL_2507089		PHV-FSS	PHV-FSS	Son Nguyen et al
Congo/ITM-002-5938/2021	EPI_ISL_1671924		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Dr. Thirumalaisamy P. Velavan et al
Congo/ITM-054-2302A30/2021	EPI_ISL_1854784		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Francine Ntoumi et al
Rwanda/NRLNAT4055/2021	EPI_ISL_2521992		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
Congo/ITM-007-2702B4/2021	EPI_ISL_1671931		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Institute of Tropical Medicine	Prof. Dr. Thirumalaisamy P. Velavan et al
Rwanda/NRLNAT4069/2021	EPI_ISL_2820242		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
Australia/SA0482/2020	EPI_ISL_513912		SA Pathology	SA Pathology	Lex Leong et al
Australia/VIC18092/2021	EPI_ISL_854752		Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al B
France/PDL-IPP13971/2021	EPI_ISL_2612625		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
USA/MN-MDH-4452/2021	EPI_ISL_1446026	MW851931.1	Vault Health	Minnesota Department of Health, Public Health Laboratory	Alexandra Lorentz et al
Cameroon/CAM050/2021	EPI_ISL_1972318		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Cameroon/CAM-20/2021	EPI_ISL_1972311		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Gabon/CERMEL-BB0031/2021	EPI_ISL_1913075		Centre de Recherches Médicales de Lambaréné (CERMEL)	Centre de Recherches Médicales de Lambaréné (CERMEL)	Gédéon Prince Manouana et al
Cameroon/CAM059/2021	EPI_ISL_1972322		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
RepublicoftheCongo/RC-021/2021	EPI_ISL_2978206		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
SouthKorea/KDCA4826/2021	EPI_ISL_2754322		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
SouthKorea/KDCA4884/2021	EPI_ISL_2754376		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
SouthKorea/KDCA5002/2021	EPI_ISL_2754478		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
SouthKorea/KDCA5109/2021	EPI_ISL_2754570		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
SouthKorea/KDCA5170/2021	EPI_ISL_2754629		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
Gambia/33057/2021	EPI_ISL_2958631		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
Angola/CERI-KRISP-K019070/2021	EPI_ISL_2893228		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innovation, Stellenbosch Univeristy & KRISP, KZN Research Innovation and Sequencing Platform	Morais J et al
Gambia/33059/2021	EPI_ISL_2958632		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
Australia/QLD1877/2021	EPI_ISL_2001059		PHV-FSS	PHV-FSS	Son Nguyen et al
Benin/315465/2021	EPI_ISL_2932582		Laboratoire des Fièvres Hémorragiques Virales du Benin	Institut für Virologie - Institute of Virology - Charite	Anna-Lena Sander et al
Nigeria/CV1283/2021	EPI_ISL_2240755		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
Coted-Ivoire/COV-BKE2279/bc73/2021	EPI_ISL_1663654		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
Nigeria/CV1400/2021	EPI_ISL_2565897		Nigeria Centre for Disease Control (NCDC)	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
Cameroon/CAM-03/2021	EPI_ISL_1972307		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Benin/314176/2021	EPI_ISL_2932580		Laboratoire des Fièvres Hémorragiques Virales du Benin	Institut für Virologie - Institute of Virology - Charite	Anna-Lena Sander et al
Togo/C6634/2021	EPI_ISL_1586902		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Cameroon/ICGEB-CIRCB_26193/2021	EPI_ISL_2504141		Chantal Biya International Reference Centre (CIRCB)	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab for Genome Sequencing	Joseph Fokam et al
Cameroon/CAM053/2021	EPI_ISL_2967032		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Tunisia/SP-0362/2021	EPI_ISL_2035947		Pasteur Institute - Laboratory of Clinical Virology	Pasteur Institute - Laboratory of Clinical Virology	Wasfi Fares et al
Uganda/UG402/2021	EPI_ISL_2346401		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
Niger/IPP10313/2021	EPI_ISL_2188485		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
Niger/IPP10316/2021	EPI_ISL_2188487		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
Australia/WA620/2021	EPI_ISL_1017678		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Uganda/UG430/2021	EPI_ISL_2346411		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
SouthSudan/UG436/2021	EPI_ISL_2450808		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
Nigeria/CV958/2021	EPI_ISL_1715383		Nigerian Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases, Redeemer’s University	Olawoye et al
Mali/INSP634/2021	EPI_ISL_2484167		INSP-Bamako	Malaria Research and Training Center	Antoine Dara et al
Libya/EMC-3/2021	EPI_ISL_2860638		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Nigeria/NCDC-FCT-8Q/2021	EPI_ISL_1915793		EHA Clinics	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
Nigeria/CV1126/2021	EPI_ISL_1970562		Nigeria Centre for Disease Control (NCDC)	African Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
Nigeria/NCDC-FCT-8T/2021	EPI_ISL_2432922		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
Cameroon/ICGEB-CIRCB_25584/2021	EPI_ISL_2504138		Chantal Biya International Reference Centre (CIRCB)	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab for Genome Sequencing	Joseph Fokam et al
USA/NC-CDC-ASC210000162/2021	EPI_ISL_2243051	MZ258969.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
Mali/INSP525/2021	EPI_ISL_2672216		INSP, Bamako	Malaria Research and Training Center-Parasito	Antoine Dara et al
DRC/RDC-101/2021	EPI_ISL_2968689		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Togo/TGS16/2021	EPI_ISL_1509099		Institut National d'hygiène	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Ghana/NMIMR-TRA-21-32035/2021	EPI_ISL_2376383		Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Institute of Tropical Medicine, Universitätsklinikum Tübingen, Germany	Bright Adu et al
SouthSudan/UG580/2021	EPI_ISL_2928027		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
Nigeria/CV1258/2021	EPI_ISL_2308266		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
Libya/EMC-10/2021	EPI_ISL_2860645		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Libya/EMC-1/2021	EPI_ISL_2860636		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Libya/EMC-8/2021	EPI_ISL_2860643		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Libya/EMC-7/2021	EPI_ISL_2860642		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Senegal/SN-MBO-212640/2021	EPI_ISL_2873823		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
Niger/IPP10314/2021	EPI_ISL_2188486		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
Nigeria/NCDC-FCT-10T/2021	EPI_ISL_2432953		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
Niger/IPP10317/2021	EPI_ISL_2188488		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
SouthSudan/UG443/2021	EPI_ISL_2450800		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG420/2021	EPI_ISL_2450797		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG571/2021	EPI_ISL_2928018		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
SouthSudan/UG573/2021	EPI_ISL_2928020		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
Cameroon/CAM-42/2021	EPI_ISL_1972317		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Uganda/UG527/2021	EPI_ISL_2690473		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
Uganda/UG531/2021	EPI_ISL_2690477		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
Uganda/UG533/2021	EPI_ISL_2690471		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
Uganda/UG497/2021	EPI_ISL_2690467		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Rakai Health Sciences Program	Matthew Cotten et al
SouthSudan/UG311/2021	EPI_ISL_2450782		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
Nigeria/CV1314/2021	EPI_ISL_2285321		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
Australia/QLD1909/2021	EPI_ISL_2385974		PHV-FSS	PHV-FSS	Son Nguyen et al
Australia/QLD1906/2021	EPI_ISL_2385971		PHV-FSS	PHV-FSS	Son Nguyen et al
Uganda/UG461/2021	EPI_ISL_2346427		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
Uganda/UG463/2021	EPI_ISL_2346429		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
Niger/IPP10306/2021	EPI_ISL_2188484		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
Ghana/NMIMR-NTRA-21-13100/2021	EPI_ISL_2361923		Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Institute of Tropical Medicine, Universitätsklinikum Tübingen, Germany	Bright Adu et al
Uganda/UG400/2021	EPI_ISL_2346399		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
Australia/QLD1542/2021	EPI_ISL_944748		Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Belarus/RRPCEM_VIS_874/2021	EPI_ISL_2032231		Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Elena Gasich et al
Kuwait/KU-1301/2021	EPI_ISL_2604187		Ministry of Health, Jaber Al-Ahmad Hospital	Virology Unit, Department of Microbiology, Faculty of Medicine, Kuwait University	Nada Madi et al
Nigeria/NCDC-FCT-6T/2021	EPI_ISL_2432518		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
Benin/312950/2021	EPI_ISL_2932576		Laboratoire des Fièvres Hémorragiques Virales du Benin	Institut für Virologie - Institute of Virology - Charite	Anna-Lena Sander et al
SouthSudan/UG422/2021	EPI_ISL_2450799		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG433/2021	EPI_ISL_2450805		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG432/2021	EPI_ISL_2450804		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG421/2021	EPI_ISL_2450798		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG310/2021	EPI_ISL_2450781		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
SouthSudan/UG431/2021	EPI_ISL_2450803		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al
Benin/312198/2021	EPI_ISL_2932571		Laboratoire des Fièvres Hémorragiques Virales du Benin	Institut für Virologie - Institute of Virology - Charite	Anna-Lena Sander et al
Libya/EMC-5/2021	EPI_ISL_2860640		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Libya/EMC-12/2021	EPI_ISL_2860647		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
Australia/WA627/2021	EPI_ISL_1198801		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Niger/IPP10318/2021	EPI_ISL_2188489		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al A
Mali/INSP420/2021	EPI_ISL_2672210		INSP, Bamako	Malaria Research and Training Center-Parasito	Antoine Dara et al
BurkinaFaso/5687/2020	EPI_ISL_2142711		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Yacouba Sawadogo et al
Colombia/BOL-INS-84730/2020	EPI_ISL_497738		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
UnitedArabEmirates/1384/2020	EPI_ISL_859570		BTC, Khalifa University	BTC, Khalifa University	Al Safar et al
Norway/3432/2020	EPI_ISL_3008402		Ostfold Hospital Trust - Kalnes, Centre for Laboratory Medicine, Section for gene technology and infection serology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Norway/2875/2020	EPI_ISL_500794		Akershus University Hospital, Department for Microbiology and Infectious Disease Control	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Belarus/MI-RII-MH11337S/2020	EPI_ISL_754229		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	WHO National Influenza Centre Russian Federation	Elena Gasich et al
Belarus/MI-RII-MH11351S/2020	EPI_ISL_754230		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	WHO National Influenza Centre Russian Federation	Elena Gasich et al
Latvia/098/2020	EPI_ISL_515185		Latvijas Infektoloģijas centrs	Latvian Biomedical Research and Study Centre	Ivars Silamiķelis et al
Belarus/ChVir21845/2020	EPI_ISL_860807		WHO/Minsk	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al A
Gabon/ITM-K023/2020	EPI_ISL_539574		Centre de Recherches Medicales de Lambarene (CERMEL)	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe et al
Panama/GMI-PA387894/2020	EPI_ISL_1225474		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA463358/2020	EPI_ISL_1225556		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA569099/2020	EPI_ISL_1225572		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
USA/SD-UMGC_54/2020	EPI_ISL_1017040		South Dakota Public Health Laboratory	University of Minnesota Genomics Center	Daryl M. Gohl et al
USA/ND-NDDH-02558/2020	EPI_ISL_2876460		North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al
USA/ME-Yale-1087/2020	EPI_ISL_1017613		Connecticut Veterans' Affairs Hospital	Grubaugh Lab - Yale School of Public Health	Mary Petrone et al
USA/ND-NDDH-0016/2020	EPI_ISL_812248		North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al
NewZealand/20VR1110/2020	EPI_ISL_456191	MZ331914.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NorthMacedonia/3304/2020	EPI_ISL_2392163		Laboratory of virology and molecular diagnostics, Institute of Public Health	Laboratory of virology and molecular diagnostics, Institute of Public Health	Kuzmanovska M et al
NewZealand/20VR3178/2020	EPI_ISL_579467	MZ332460.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Australia/NSW2551/2020	EPI_ISL_527052		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
