strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Argentina/PAIS-G0179/2020	EPI_ISL_1396110		Laboratorio de Virus Respiratorios y Neurovirosis. Hospital Señor del Milagro	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-E0166/2021	EPI_ISL_1395831		Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Delia Foussal et al
Argentina/PAIS-E0181/2020	EPI_ISL_1395916		Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt et al
Argentina/PAIS-H0085/2020	EPI_ISL_1396497		Centro de Tecnología en Salud Pública de la Universidad Nacional de Rosario	Laboratorio Mixto de Biotecnología Acuática (LMBA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Joaquín Ezpeleta et al
Argentina/PAIS-H0055/2020	EPI_ISL_1396475		Centro de Tecnología en Salud Pública de la Universidad Nacional de Rosario	Laboratorio Mixto de Biotecnología Acuática (LMBA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Joaquín Ezpeleta et al
Argentina/PAIS-H0108/2020	EPI_ISL_1396518		Centro de Tecnología en Salud Pública de la Universidad Nacional de Rosario	Laboratorio Mixto de Biotecnología Acuática (LMBA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Joaquín Ezpeleta et al
Argentina/PAIS-B0019/2020	EPI_ISL_1396259		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Biocódices SA. on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/PAIS-H0071/2020	EPI_ISL_1396425		Hospital Español de Rosario	Laboratorio Mixto de Biotecnología Acuática (LMBA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Joaquín Ezpeleta et al
Argentina/PAIS-H0024/2020	EPI_ISL_1396449		Centro de Tecnología en Salud Pública de la Universidad Nacional de Rosario	Laboratorio Mixto de Biotecnología Acuática (LMBA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Joaquín Ezpeleta et al
Argentina/PAIS-D0104/2020	EPI_ISL_1396373		Hospital Central Mendoza	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Liliana Videla et al
Argentina/PAIS-D0115/2020	EPI_ISL_1396384		Laboratorio Salud Publica Mendoza	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Silvia Zerrer et al
Paraguay/33626/2020	EPI_ISL_1340755		Departamento de Virologia, Laboratorio Central de Salud Pública, Avenida Venezuela y Teniente Escurra, Asunción, Paraguay	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
Paraguay/iics_7912/2021	EPI_ISL_2234883		IICS-UNA	IICS-UNA	Magaly Martinez et al
Argentina/PAIS-A0037/2020	EPI_ISL_792126		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Nabaes Jodar et al A
Argentina/INEI022121/2020	EPI_ISL_849309		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/PAIS-A0273/2020	EPI_ISL_792351		Instituto Nacional de Epidemiología Dr. Jara	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Nabaes Jodar et al A
Argentina/PAIS-A0282/2020	EPI_ISL_792357		Laboratorio de Biología Molecular. Hospital Dr. Héctor Cura	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Nabaes Jodar et al A
Argentina/PAIS-A0278/2020	EPI_ISL_792354		Laboratorio de Biología Molecular. Hospital Dr. Héctor Cura	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Nabaes Jodar et al A
Argentina/PAIS-B0008/2020	EPI_ISL_1396248		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Biocódices SA. on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/PAIS-A0353/2020	EPI_ISL_1396157		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/INEI095503/2020	EPI_ISL_849359		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/INEI096418/2020	EPI_ISL_856799		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/INEI040157/2020	EPI_ISL_849313		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/PAIS-D0089/2021	EPI_ISL_1396358		Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Carina Andrea De Roccis et al
Argentina/PAIS-A0364/2020	EPI_ISL_1396168		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/PAIS-B0040/2020	EPI_ISL_1396280		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Biocódices SA. on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/PAIS-G0151/2020	EPI_ISL_1396099		Laboratorio de Virus Respiratorios y Neurovirosis. Hospital Señor del Milagro	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-G0156/2020	EPI_ISL_1396111		Laboratorio de Virus Respiratorios y Neurovirosis. Hospital Señor del Milagro	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-A0377/2020	EPI_ISL_1396181		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/INEI092593/2020	EPI_ISL_849379		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/argenTAG-12CF5045/2020	EPI_ISL_648212		INBIRS-UBA	Laboratorio Mixto de Biotecnología Acuática (LMBA)	Joaquín Ezpeleta et al
Argentina/argenTAG-1252C02E/2020	EPI_ISL_648677		INBIRS-UBA	Laboratorio Mixto de Biotecnología Acuática (LMBA)	Joaquín Ezpeleta et al
Argentina/PAIS-D0067/2020	EPI_ISL_1396337		Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Carina Andrea De Roccis et al
Argentina/PAIS-D0069/2020	EPI_ISL_1396339		Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Carina Andrea De Roccis et al
Argentina/PAIS-B0012/2020	EPI_ISL_1396252		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Biocódices SA. on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Argentina/INEI096788/2020	EPI_ISL_2104768		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/INEI095228/2020	EPI_ISL_849351		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Argentina/PAIS-G0045/2020	EPI_ISL_1396020		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-G0032/2020	EPI_ISL_1395976		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-G0107/2020	EPI_ISL_1395969		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-G0106/2020	EPI_ISL_1396015		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-A0338/2020	EPI_ISL_1396143		Laboratorio de la Dirección de Epidemiología	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Rechimont et al
Argentina/PAIS-G0069/2021	EPI_ISL_1396030		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-G0030/2020	EPI_ISL_1396024		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
Argentina/PAIS-G0033/2020	EPI_ISL_1396025		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
USA/MA-CDC-2-3955961/2020	EPI_ISL_1373730	MW863830.1	Boston Childrens (Overcoming COVID)	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al B
USA/COM0001/2020	EPI_ISL_491481		Functional Genomics Core University of South Carolina / Prisma Health–Midlands	Functional Genomics Core, Center For Targeted Therapeutics,	Hao Ji et al
USA/SC-USC-COM0003/2020	EPI_ISL_493129	MT856680.1	Functional Genomics Core University of South Carolina / Prisma Health–Midlands	Functional Genomics Core, University of South Carolina,	Hao Ji et al
USA/TN-QDX-4452/2020	EPI_ISL_937107		Quest Diagnostics	Quest Diagnostics	Rosenthal et al
USA/LA-EVTL397/2020	EPI_ISL_578803		LSUHS Emerging Viral Threat Laboratory	Microbial Genome Sequencing Center	Jeremy P. Kamil et al
USA/AR-USAFSAM-S127/2020	EPI_ISL_812310		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	Anthony Fries et al
Australia/VIC1174/2020	EPI_ISL_430623	MT451783.1	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Mexico/CMX-INER-IBT-13/2020	EPI_ISL_1301465		Instituto Nacional de Enfermedades Respiratorias (INER)	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Rwanda/NRLNAT2023/2020	EPI_ISL_960278		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
USA/MS-CDC-6558/2020	EPI_ISL_648011	MW279429.1	MS Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al A
USA/MS-CDC-6561/2020	EPI_ISL_648013	MW279431.1	MS Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al A
USA/WV-WVU-WV118930/2020	EPI_ISL_2195918	MZ498101.1	J.W. Ruby Memorial Hospital	WVU and Marshall University Combined Genomics Core Facilities	James Denvir et al
USA/IL-IDPH-SCH-S-0002437/2020	EPI_ISL_2960160		Illinois Department of Public Health	Gagnon Lab, Southern Illinois University	Keith Gagnon et al
NewZealand/20VR3151/2020	EPI_ISL_579442	MZ332435.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Canada/BC_7515663/2020	EPI_ISL_418845		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
NewZealand/20VR1899/2020	EPI_ISL_456300	MZ332062.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR3166/2020	EPI_ISL_579456	MZ332449.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
USA/SD-SDPHL-0361/2021	EPI_ISL_2427243	MZ346437.1	South Dakota Public Health Laboratory	South Dakota Public Health Laboratory	Jacob Garfin et al
