strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
USA/IL-CDC-QDX22085990/2021	EPI_ISL_1139386	MW696968.1	Quest Diagnostics Incorporated	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
Mexico/BCN-ALSR-8446/2020	EPI_ISL_1531910		Centro de Diagnostico COVID-19 UABC Tijuana	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al
Mexico/BCN-ALSR-8470/2020	EPI_ISL_1531933		Centro de Diagnostico COVID-19 UABC Tijuana	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al
Peru/LOR-INS-574/2021	EPI_ISL_1111466		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú	Ronnie Gavilan Chavez et al
Mexico/BCN-ALSR-8464/2020	EPI_ISL_1531927		Centro de Diagnostico COVID-19 UABC Tijuana	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al
Mexico/BCN-ALSR-8377/2020	EPI_ISL_1531841		Centro de Diagnostico COVID-19 UABC Tijuana	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al
Aruba/AW-RIVM-27811/2021	EPI_ISL_1792925		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Mexico/NLE-UANL-004/2020	EPI_ISL_779171		Laboratorio de Infectología, Servicio de Infectología, Hospital Universitario Dr. José Eleuterio González - Universidad Autónoma de Nuevo León	Laboratorio de Infectología Molecular, Departamento de Bioquímica y Medicina Molecular,Facultad de Medicina - Universidad Autónoma de Nuevo León	Kame A. Galán-Huerta et al
Mexico/SLP-UASLP-AH1COV2SS024_S13/2020	EPI_ISL_1494674		Centro de Investigación en Ciencias de la Salud y Biomedicina, U.A.S.L.P	Centro de Investigación en Ciencias de la Salud y Biomedicina, U.A.S.L.P	MD PhD Sofía Bernal Silva et al
Mexico/SLP-UASLP-AH1COV2SS028_S17/2020	EPI_ISL_1494726		Centro de Investigación en Ciencias de la Salud y Biomedicina, U.A.S.LP.	Centro de Investigación en Ciencias de la Salud y Biomedicina, U.A.S.LP.	MD PhD Sofía Bernal Silva et al
Mexico/ROO-InDRE-IBT-12/2020	EPI_ISL_1301486		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/CMX-INMEGEN-11-15/2020	EPI_ISL_933524		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
Australia/WA379/2020	EPI_ISL_605856		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Mexico/SIN-IBT-IMSS-431/2020	EPI_ISL_1301462		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/TLA-InDRE-IBT-16/2020	EPI_ISL_1301540		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/NAY-InDRE_27/2020	EPI_ISL_493342		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Ernesto Ramirez-Gonzalez et al
Mexico/SIN-InDRE-21/2020	EPI_ISL_493336		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Gisela Barrera-Badillo et al
USA/UT-CDC-LC0014831/2021	EPI_ISL_1163064	MW704669.1	Laboratory Corporation of America	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
Mexico/CHH-InDRE-49/2020	EPI_ISL_516617		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Ernesto Ramirez-Gonzalez et al
Mexico/PUE-IBT-IMSS-449/2020	EPI_ISL_1301632		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/MOR-IBT-IMSS-467/2020	EPI_ISL_1301650		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/BCS-IBT-IMSS-14/2020	EPI_ISL_955253		HGSMF 26 CABO SAN LUCAS	BIOBANCO / COCTI	Borja-Aburto VH et al
Mexico/CMX-INER-0015/2020	EPI_ISL_837617		Instituto Nacional de Enfermedades Respiratorias (INER)	Instituto Nacional de Enfermedades Respiratorias (INER)	Celia Boukadida et al
Mexico/BCS-IBT-IMSS-20/2020	EPI_ISL_955255		HGSMF 26 CABO SAN LUCAS	BIOBANCO / COCTI	Borja-Aburto VH et al
USA/SD-SDPHL-0016/2020	EPI_ISL_569624		Avera McKennan Hospital	South Dakota Public Health Laboratory	Matt Plumb et al
Mexico/MEX-InDRE-IBT-125/2020	EPI_ISL_1301709		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
USA/FL-QDX-3427/2020	EPI_ISL_876824	MW521677.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
Mexico/CMX-INER-IBT-47/2020	EPI_ISL_1301723		Instituto Nacional de Enfermedades Respiratorias (INER)	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/GRO-InDRE-IBT-117/2020	EPI_ISL_1301585		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Norway/2415/2020	EPI_ISL_2425886		Foerde Hospital, Department of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
UnitedArabEmirates/0419/2020	EPI_ISL_698594		Group 42 (G42) Healthcare, Abu Dhabi, United Arab Emirates; Department of Health, The United Arab Emirates	G42 Healthcare	Rong Liu et al
Venezuela/17M/2020	EPI_ISL_1577752	MT907519.1	INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
UnitedArabEmirates/L920632662/2020	EPI_ISL_520721		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B
UnitedArabEmirates/DU-A-20-205_S1/2020	EPI_ISL_548971		Expo2020 Emergency Center	Agiomix	Walaa Allam et al
Somalia/CV1173/2020	EPI_ISL_2107096		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
Morocco/HMIMV-106E/2020	EPI_ISL_2968045		Centre de Virologie des Maladies infectueuses Tropicales	Functional Genomic Platform UATRS-biology, CNRST	Sanaa ALAOUI-Amine et al
Bolivia/26953/2020	EPI_ISL_837550		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
Bolivia/26941/2020	EPI_ISL_837562		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
Mexico/NLE-UANL-126/2020	EPI_ISL_648595		Laboratorio de Infectología Servicio de Infectología Hospital Universitario Dr. José Eleuterio González - Universidad Autónoma de Nuevo León	Laboratorio de Infectología Molecular Departamento de Bioquímica y Medicina Molecular Facultad de Medicina - Universidad Autónoma de Nuevo León	Kame A. Galán-Huerta et al
DominicanRepublic/ICGEB_UNIBE032.7/2020	EPI_ISL_525469		Universidad Iberoamericana	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform	Robert Paulino-Ramirez et al
Mexico/GUA-IBT-IMSS-428/2020	EPI_ISL_1301621		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Croatia/IGA-64-139848-P/2020	EPI_ISL_1167081		"Dr. Andrija Stampar" Teaching Institute of Public Health, Department of Clinical Microbiology	Istituto di Genomica Applicata	Jasmina Vranes et al
Ecuador/USFQ-097/2020	EPI_ISL_477016		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Juan José Guadalupe et al
Australia/WA41/2020	EPI_ISL_470858		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Australia/NSW382/2020	EPI_ISL_451642		Pathology Sydney South West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
Morocco/HMIMV-Rabat1462-04/2020	EPI_ISL_471460		Centre de Virologie des Maladies Tropicales	Functional Genomic Platform/Service Analyses Biologique/UATRS/ Centre National Pour la Recherche Scientifique Et Technique (CNRST)	Hicham EL ANNAZ et al
Morocco/HMIMV-19N/2020	EPI_ISL_2968051		Centre de Virologie des Maladies infectueuses Tropicales	Functional Genomic Platform UATRS-biology, CNRST	Nadia TOUIL et al
Morocco/HMIMV-P4279CCA/2020	EPI_ISL_2968067		Centre de Virologie des Maladies infectueuses Tropicales	Functional Genomic Platform UATRS-biology, CNRST	Nadia EL MRIMAR et al
Iran/GRC-10532/2020	EPI_ISL_2692985		Department of pathology, school of medicine, Imam Hospital complex, Tehran university of medical sciences, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
Iran/GRC-9136/2020	EPI_ISL_2692901		Department of pathology, school of medicine, Imam Hospital complex, Tehran university of medical sciences, Tehran,Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
Iran/Ghilan-S15-319/2020	EPI_ISL_1014679		National Influenza Center, Virology Department	National Influenza Center	A Nejati et al
Iran/Ghilan-T15-191/2020	EPI_ISL_1014680		National Influenza Center, Virology Department	National Influenza Center	K Sadeghi et al
Romania/RO_IOCN50/2020	EPI_ISL_891224		The Oncology Institute "Prof. Dr. Ion Chiricuta" Cluj Napoca	"Stefan cel Mare" University Metagenomics Lab	Lobiuc Andrei et al
Romania/Bucuresti409489/2021	EPI_ISL_910338		Laboratory for Respiratory Viruses, Cantacuzino National Military-Medical Institute for Research and Development	Cantacuzino Institute Virology	Luiza Ustea et al
Finland/V1010/2021	EPI_ISL_2608799		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al A
Romania/RO_IOCN19/2020	EPI_ISL_891227		The Oncology Institute "Prof. Dr. Ion Chiricuta" Cluj Napoca	"Stefan cel Mare" University Metagenomics Lab	Lobiuc Andrei et al
Ireland/KE-NVRL-71IRL94136/2020	EPI_ISL_525356		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Ireland/OY-NVRL-71IRL93664/2020	EPI_ISL_525354		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Ireland/KK-NVRL-72IRL21404/2020	EPI_ISL_528483		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Ireland/KK-NVRL-72IRL11149/2020	EPI_ISL_528463		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Ireland/KE-NVRL-71IRL72426/2020	EPI_ISL_512090		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Ireland/D-NVRL-73IRL25494/2020	EPI_ISL_578208		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Ireland/SO-NVRL-73IRL69623/2020	EPI_ISL_639843		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
Romania/2226PLOT/2020	EPI_ISL_1081961		"Stefan S. Nicolau"Institute of Virology	"Stefan S. Nicolau"Institute of Virology	Anca Botezatu et al
Romania/B-64170/2020	EPI_ISL_1279954		National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Leontina Banica et al
Switzerland/AG-ETHZ-550678/2020	EPI_ISL_1597872	OU174006.1	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
Romania/191Hunedoara/2020	EPI_ISL_807156		Deva County Emergency Hospital	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Leontina Banica et al
Romania/IL-1810/2021	EPI_ISL_979798		National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Leontina Banica et al
Bulgaria/21BG-NC_A000074/2020	EPI_ISL_2081937		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
Australia/SA0531/2020	EPI_ISL_622765		SA Pathology	SA Pathology	Lex Leong et al
Germany/NW-UBI-167/2020	EPI_ISL_1181289		MVZ Dr. Eberhard & Partner Dortmund	Bielefeld University	David Brandt et al
Bulgaria/21BG-NC_A000071/2020	EPI_ISL_2081934		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
Lithuania/T-88/2020	EPI_ISL_802861		Vilnius University Hospital Santaros Klinikos, Vilnius University	Institute of Biotechnology, Life Sciences Center, Vilnius University	Emilija Vasiliunaite et al
BosniaandHerzegovina/VFS-UNSA-LMGFI010/2020	EPI_ISL_955156		University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletić T. et al
Croatia/IGA-68-132251-P/2020	EPI_ISL_1167085		"Dr. Andrija Stampar" Teaching Institute of Public Health, Department of Clinical Microbiology	Istituto di Genomica Applicata	Jasmina Vranes et al
CzechRepublic/IAB20_016_093/2020	EPI_ISL_889399		Olomouc University Hospital	Institute of Applied Biotechnologies a.s.	Petr Klempt et al
Sweden/21-00605/2020	EPI_ISL_2196642		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
Slovenia/71380/2020	EPI_ISL_2644229		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Mauritius/P-012661/2020	EPI_ISL_2499904		Virology Department, Central Health Laboratory	The Francis Crick Institute	Ramuth M et al
Austria/CeMM2317/2021	EPI_ISL_934488		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
Croatia/IGA-46-86466/2020	EPI_ISL_1167064		"Dr. Andrija Stampar" Teaching Institute of Public Health, Department of Clinical Microbiology	Istituto di Genomica Applicata	Jasmina Vranes et al
Australia/WA539/2020	EPI_ISL_794711		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
BosniaandHerzegovina/AGC-MOS-002/2020	EPI_ISL_722201		Vitalis Mostar	Alea Genetic Center	Salihefendic L. et al
Slovenia/274635/2020	EPI_ISL_1964511		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Croatia/HRV000_103/2021	EPI_ISL_1109552		"Dr. Andrija Stampar“ Teaching Institute of Public Health	Croatian Institute of Public Health	Irena Tabain et al
England/QEUH-9C9F2B/2020	EPI_ISL_567431		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Harper VanSteenhouse et al
Australia/WA383/2020	EPI_ISL_605859		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Slovenia/08-054344-MB/2021	EPI_ISL_1266242		National Laboratory for Health, Environment and Food, OMM, Maribor	CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Jernej Kovač et al
Slovenia/157765/2020	EPI_ISL_2492293		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Slovenia/183901/2020	EPI_ISL_1964402		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Slovenia/195938/2020	EPI_ISL_1964408		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Slovenia/154891/2020	EPI_ISL_1098774		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Slovenia/2020-V0-273561/2020	EPI_ISL_877447		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Samo Zakotnik et al
Slovenia/35383/2021	EPI_ISL_2465412		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Slovenia/21-753/2021	EPI_ISL_1289942		Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	José Gonçalves et al
Slovenia/22-3929/2020	EPI_ISL_1795883		Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Department for Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Tom Koritnik et al
Slovenia/08-049835-MB/2021	EPI_ISL_1240404		National Laboratory for Health, Environment and Food, OMM, Maribor	CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Jernej Kovač et al
Slovenia/38728/2021	EPI_ISL_2465452		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Bulgaria/21BG-EU_403_Pl5/2021	EPI_ISL_1302091		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
Slovenia/111861/2021	EPI_ISL_1406434		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Liechtenstein/UHB-4168696501/2020	EPI_ISL_1233663	OU282399.1	Labormedizinisches Zentrum Dr Risch	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
Slovenia/22-2394/2021	EPI_ISL_1260797		National Laboratory for Health, Environment and Food	Department for Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Tom Koritnik et al
Slovenia/22-807/2021	EPI_ISL_1402317		Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Tom Koritnik et al
Slovenia/215385/2020	EPI_ISL_1964281		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Austria/CeMM3262/2020	EPI_ISL_1008259		Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
Austria/CeMM4800/2020	EPI_ISL_2485202		ILV Kärnten	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
Croatia/HRV000_198/2021	EPI_ISL_1195667		Public Health Institute of Dubrovnik-Neretva County	Croatian Institute of Public Health	Irena Tabain et al
Switzerland/AG-ETHZ-480266/2021	EPI_ISL_1002307	OD998151.1	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
NorthMacedonia/31715/2021	EPI_ISL_1138406		General Hospital - Shtip	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	Aleksandar J. Dimovski et al
NorthMacedonia/8969/2021	EPI_ISL_1191775		Laboratory of virology and molecular diagnostics	Laboratory of virology and molecular diagnostics	Kuzmanovska Maja et al
NorthMacedonia/34834/2021	EPI_ISL_1970986		General Hospital - Shtip	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	Aleksandar J. Dimovski et al
NorthMacedonia/8962/2021	EPI_ISL_1191774		Laboratory of virology and molecular diagnostics	Laboratory of virology and molecular diagnostics	Kuzmanovska Maja et al
NorthMacedonia/10187/2021	EPI_ISL_1191777		Laboratory of virology and molecular diagnostics	Laboratory of virology and molecular diagnostics	Kuzmanovska Maja et al
Switzerland/BS-42378851/2020	EPI_ISL_581935	OU280573.1	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al
Sweden/20-13071/2020	EPI_ISL_775560		ABC	The Public Health Agency of Sweden	Department of Microbiology et al
Slovenia/126830/2020	EPI_ISL_2886931		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Italy/LAZ-AMC-2101244014-DS/2021	EPI_ISL_2036767		Virology Laboratory, Scientific Department, Army Medical Center	Virology Laboratory, Scientific Department, Army Medical Center	Silvia Fillo et al
Slovakia/15687-VHU5282/2020	EPI_ISL_2276074		Regional Authority of Public Health Trenčín	Veterinary institute in Zvolen Slovakia	Dirbáková Z. et al
Croatia/IGA-24-86491/2020	EPI_ISL_1167044		"Dr. Andrija Stampar" Teaching Institute of Public Health, Department of Clinical Microbiology	Istituto di Genomica Applicata	Jasmina Vranes et al
Georgia/Tb-SNGS027/2021	EPI_ISL_1791050		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al
Australia/NSW1129/2020	EPI_ISL_593742		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
Australia/WA543/2020	EPI_ISL_794715		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Montenegro/ChVir23219/2021	EPI_ISL_1013601		Department for Molecular Diagnostics, Centre for Medical Microbiology, Institute of Public Health, Montenegro	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al A
Poland/NIPH-NIH-06/2020	EPI_ISL_882961		Laboratorium Diagnostyi Mikrobiologicznej z Pracownią Prątka Gruźlicy SPSzW im. Jana Bożego w Lublinie	National Institute of Public Health - National Institute of Hygiene	Wołkowicz Tomasz et al
Poland/KCZ_1.64/2020	EPI_ISL_2650479		Department of Infectious, Tropical Diseases and Immune Deficiency, Pomeranian Medical University in Szczecin, Szczecin, Poland	Department of Infectious, Tropical Diseases and Immune Deficiency, Pomeranian Medical University in Szczecin, Szczecin, Poland	Karol Serwin et al
Liechtenstein/UHB-0697145800/2020	EPI_ISL_1233628	OU281834.1	Labormedizinisches Zentrum Dr Risch	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
Liechtenstein/UHB-0697495800/2020	EPI_ISL_1233629	OU281847.1	Labormedizinisches Zentrum Dr Risch	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
Liechtenstein/UHB-0697576100/2020	EPI_ISL_1233630	OU281961.1	Labormedizinisches Zentrum Dr Risch	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
Slovakia/UKBA-1124/2021	EPI_ISL_959636		Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	Faculty of Natural Sciences, Comenius University, Bratislava	Viktória Čabanová et al
Australia/QLD1343/2020	EPI_ISL_849685		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
CzechRepublic/NRL_9679/2020	EPI_ISL_626601		The National Institute of Public Health	State Veterinary Institute Prague	Nagy et al
Netherlands/OV-RIVM-21015/2020	EPI_ISL_790621		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Liechtenstein/UHB-4176285501/2020	EPI_ISL_1299918	OU282965.1	Labormedizinisches Zentrum Dr Risch	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
Liechtenstein/UHB-4176424601/2020	EPI_ISL_1299919	OU282499.1	Labormedizinisches Zentrum Dr Risch	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
CzechRepublic/NRL_11782-4/2020	EPI_ISL_850664		The National Institute of Public Health	State Veterinary Institute Prague	Nagy et al
Denmark/DCGC-7452/2020	EPI_ISL_619109		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al
Denmark/DCGC-13227/2020	EPI_ISL_712366		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium et al
Denmark/DCGC-80426/2020	EPI_ISL_1889067		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Aalborg University	Danish Covid-19 Genome Consortium et al
CzechRepublic/NRL_11782-5/2020	EPI_ISL_850665		The National Institute of Public Health	State Veterinary Institute Prague	Nagy et al
CzechRepublic/NRL_2320_21/2021	EPI_ISL_1261392		National Institute of Public Health	National Reference Laboratory for Influenza and Respiratory Viruses CZE	Helena Jirincova et al
Estonia/Cov7255/2020	EPI_ISL_2642794	OU278681.1	SYNLAB Eesti OÜ	Department of Microbiology, Institute of Biomedicine and Translational Medicine, University of Tartu	Radko Avi et al
Cyprus/Cy097095/2020	EPI_ISL_1164695		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
Cyprus/Cy064382/2020	EPI_ISL_1164664		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
Cyprus/Cy064710/2020	EPI_ISL_1164665		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
Cyprus/Cy063870/2020	EPI_ISL_1164661		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
Cyprus/Cy063912/2020	EPI_ISL_1164662		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
Cyprus/Cy075893/2020	EPI_ISL_1164677		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
Cyprus/Cy090546/2020	EPI_ISL_1164690		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
